Date,USO,UCO,DBO,SCO,USL,DTO,OLO,OLEM,SZO,GLD,IAU,SGOL,OUNZ,UGLD,DGL,UGL,DGP,GLL,DZZ,DGLD,DGZ,UBG
20151231,11.02,25.155,9.07,66.6042,17.0,159.6,4.62,14.92,92.83,101.6247,10.25,103.6369,10.5528,73.7,34.69,29.73,18.18,115.88,8.86,94.71,17.09,27.21
20160129,31.7,69.2394,26.130000000000003,211.70139999999998,49.89,518.08,13.310000000000002,43.53,289.89,309.5824,31.23,315.7114,32.1473,232.89999999999998,105.84,92.09,56.419999999999995,336.46,25.66,269.68,50.379999999999995,83.07
20160229,61.370000000000005,129.082,50.59,436.18909999999994,98.08,1095.2800000000002,25.760000000000005,85.42,596.36,635.6087,64.13,648.19,66.0023,505.79999999999995,217.3,194.4,118.95999999999998,640.3,48.72,502.0,98.13999999999999,170.7
20160329,100.77000000000001,206.8552,82.73,725.7721999999999,162.44,1856.2700000000002,42.120000000000005,141.55,1003.48,1078.816,108.85999999999999,1100.1679000000001,112.02550000000001,892.0,369.17,335.89,205.91999999999996,1027.6999999999998,78.0,790.51,160.32999999999998,290.2
20160429,151.46,308.2154,123.5,1061.2756,245.2,2742.21,62.870000000000005,214.11,1495.1,1644.8656,165.98999999999998,1677.4178000000002,170.80470000000003,1405.7,563.1800000000001,520.28,319.39,1490.5599999999997,112.96000000000001,1127.88,236.32,442.99
20160527,214.10000000000002,435.7156,173.41,1437.0833,347.40999999999997,3738.4,88.27000000000001,303.99,2066.23,2327.0894,234.84999999999997,2373.1420000000003,241.64730000000003,2025.0,796.83,742.9,456.25,2037.2999999999997,154.26,1523.27,326.90999999999997,627.1
20160629,288.67,589.1524,232.76,1851.4652,469.54999999999995,4844.85,118.47000000000001,411.33000000000004,2716.84,3135.4973999999997,316.44999999999993,3197.5475,325.59310000000005,2779.8,1073.7,1010.37,620.73,2654.2699999999995,200.76,1962.35,430.78,845.47
20160729,373.03,759.8732,300.18,2320.6040000000003,608.6099999999999,6104.1900000000005,152.78000000000003,533.12,3461.88,4072.0064999999995,410.9899999999999,4152.5887,422.8407000000001,3676.7000000000003,1394.47,1323.91,813.73,3339.1399999999994,252.29999999999998,2442.56,547.72,1098.74
20160829,468.26,951.4834,376.46000000000004,2832.992,766.2599999999999,7483.09,191.60000000000002,670.82,4291.04,5134.3546,518.2399999999999,5235.9598000000005,533.1554000000001,4705.900000000001,1758.02,1681.77,1033.8,4094.1899999999996,309.13,2966.5299999999997,678.05,1386.06
20160929,574.4,1163.7574,461.59000000000003,3386.0672000000004,942.4999999999999,8982.8,234.93,824.44,5204.4,6322.4378,638.1899999999999,6447.5551000000005,656.5263000000001,5866.500000000001,2164.38,2083.76,1280.96,4919.3099999999995,371.21999999999997,3534.0299999999997,821.74,1707.46
20161028,691.53,1397.0324,555.6600000000001,3978.4316000000003,1137.57,10601.199999999999,282.81,994.1300000000001,6201.259999999999,7631.914,770.4,7782.9490000000005,792.5024000000001,7143.700000000001,2611.96,2526.76,1553.23,5819.329999999999,438.96999999999997,4149.8099999999995,979.29,2061.64
20161129,818.7199999999999,1647.7286000000001,658.0500000000001,4615.775600000001,1350.27,12359.277699999999,334.9253,1178.71,7288.841899999999,9054.4989,914.04,9233.6949,940.2237000000001,8513.900000000001,3097.86,3005.2000000000003,1847.0993,6804.979999999999,513.1702,4824.65,1151.6624,2446.25
20161229,957.6299999999999,1921.8124000000003,770.1200000000001,5284.749200000001,1583.3799999999999,14219.048799999999,391.9703,1380.65,8454.0092,10586.280700000001,1068.71,10795.8052,1099.2839000000001,9969.100000000002,3621.0,3516.55,2161.3237,7881.959999999998,594.1522,5563.0,1339.2455,2860.43
20170127,1107.9299999999998,2217.8362,891.6000000000001,5986.632800000001,1836.27,16186.232399999999,453.8045,1599.2800000000002,9698.9276,12230.9361,1234.79,12473.029600000002,1270.0645000000002,11515.700000000003,4182.37,4062.9100000000003,2496.9772,9043.839999999998,681.5421,6359.74,1541.6222,3304.99
20170228,1269.6899999999998,2535.9500000000003,1022.3900000000001,6720.836400000001,2108.89,18259.7558,520.3776,1834.6200000000001,11023.209400000002,13995.164700000001,1412.95,14272.2,1453.2615000000003,13168.600000000002,4783.969999999999,4648.42,2856.2998,10281.069999999998,774.6697,7206.25,1758.0168,3781.58
20170328,1441.6,2871.4038,1161.65,7495.310000000001,2399.2999999999997,20463.5909,591.2654,2084.9100000000003,12435.799500000001,15879.087000000001,1603.21,16193.44,1648.8875000000003,14927.800000000003,5425.839999999999,5273.04,3239.3626,11593.199999999997,873.5177,8102.04,1988.4080000000001,4290.26
20170428,1623.79,3224.5376,1309.47,8308.6236,2707.6699999999996,22797.11,666.5128,2350.26,13936.2765,17883.537800000002,1805.65,18237.6021,1857.0289000000002,16795.500000000004,6108.289999999999,5937.2,3646.5241,12978.989999999998,977.9968,9045.77,2232.6879,4831.3
20170526,1816.27,3595.3214,1465.8400000000001,9159.567200000001,3033.97,25259.926,746.1125,2630.7200000000003,15524.5139,20008.3463,2020.2600000000002,20404.5136,2077.6679000000004,18771.100000000002,6831.3099999999995,6640.68,4077.7755,14438.469999999998,1088.1103,10037.18,2490.8613,5404.7
20170628,2017.95,3980.0951999999997,1630.0500000000002,10056.570800000001,3376.6099999999997,27881.2088,829.7057,2924.7300000000005,17210.2114,22251.8479,2246.8700000000003,22692.4774,2310.6320000000005,20848.700000000004,7594.19,7382.27,4532.2742,15973.539999999997,1204.0548000000001,11078.57,2763.1729,6009.91
20170728,2229.81,4381.8189999999995,1802.7100000000003,10990.494400000001,3736.93,30630.9421,917.6052,3233.5700000000006,18983.8307,24615.6101,2485.6400000000003,25103.0933,2556.0838000000003,23032.700000000004,8397.5,8162.88,5010.6761,17582.149999999998,1325.6588000000002,12167.5,3049.4195,6647.45
20170828,2451.18,4798.4028,1983.4500000000003,11965.708,4114.12,33524.9087,1009.6213,3556.4700000000007,20850.9508,27101.5308,2736.7700000000004,27638.2981,2814.2207000000003,25333.200000000004,9242.52,8983.630000000001,5514.4872,19261.979999999996,1452.5676,13299.56,3349.1665,7317.92
20170928,2682.97,5232.8066,2173.01,12974.661600000001,4509.62,36537.1802,1106.1297,3894.7800000000007,22803.0249,29709.3839,3000.2300000000005,30297.8615,3085.0191000000004,27742.800000000003,10128.470000000001,9844.210000000001,6042.7378,21013.059999999998,1584.9741000000001,14477.15,3662.6652,8021.12
20171027,2925.58,5686.3104,2371.7200000000003,14014.585200000001,4924.0599999999995,39658.6751,1207.3009,4249.070000000001,24836.8147,32437.5248,3275.8600000000006,33080.1077,3368.3080000000004,30257.100000000002,11054.830000000002,10743.43,6594.8032,22837.26,1723.0200000000002,15701.93,3990.0951999999997,8756.64
20171128,3179.79,6161.6942,2580.2200000000003,15081.158800000001,5358.65,42873.9834,1313.4625999999998,4620.4400000000005,26946.550499999998,35288.3234,3563.9000000000005,35987.4544,3664.3338000000003,32881.5,12022.380000000001,11682.720000000001,7171.6013,24731.809999999998,1866.4913000000001,16971.14,4331.1954,9525.119999999999
20171228,3445.96,6660.298,2798.8300000000004,16172.512400000001,5814.12,46177.49189999999,1424.7778999999998,5009.450000000001,29129.9573,38261.658800000005,3864.3400000000006,39019.7791,3973.0840000000003,35615.3,13031.060000000001,12661.900000000001,7773.1013,26696.819999999996,2015.4026000000001,18284.809999999998,4685.9864,10326.55
20180126,3725.38,7187.1918,3028.6200000000003,17284.056,6292.32,49550.78829999999,1541.7888999999998,5417.830000000001,31379.3193,41363.3907,4177.77,42183.0577,4295.166700000001,38472.8,14082.68,13684.720000000001,8401.4709,28726.009999999995,2169.2896,19637.559999999998,5053.8852,11162.42
20180228,4017.2,7738.825599999999,3268.9200000000005,18418.2196,6791.82,53004.36519999999,1664.1620999999998,5844.35,33699.3255,44590.12330000001,4503.85,45473.829,4630.229600000001,41443.100000000006,15176.04,14748.77,9055.2408,30822.909999999996,2328.4538000000002,21032.67,5435.285699999999,12031.77
20180328,4322.0,8317.4694,3520.3400000000006,19572.6932,7313.83,56530.77889999999,1792.2051999999999,6290.04,36086.7269,47943.2032,4842.72,48893.466799999995,4978.4125,44527.40000000001,16311.37,15854.800000000001,9734.6818,32986.079999999994,2492.8467,22469.239999999998,5830.1308,12934.810000000001
20180427,4640.55,8926.3532,3783.5200000000004,20744.9568,7859.68,60121.66719999999,1926.2457,6756.12,38537.681300000004,51421.55070000001,5194.27,52440.87099999999,5339.603,47723.70000000001,17488.510000000002,17001.95,10439.5702,35216.729999999996,2662.5233,23947.649999999998,6238.4965,13871.410000000002
20180525,4972.82,9565.237,4058.7400000000007,21934.8104,8429.73,63777.08509999999,2066.4272,7242.75,41052.2736,55023.421200000004,5558.330000000001,56114.263499999994,5713.6198,51026.60000000001,18706.840000000004,18188.95,11169.1376,37516.78,2837.6535,25469.729999999996,6660.6057,14841.080000000002
20180628,5319.969999999999,10237.8408,4346.35,23139.863999999998,9024.92,67485.89929999999,2212.9289,7750.76,43625.1283,58743.846300000005,5934.400000000001,59908.579099999995,6099.947400000001,54422.400000000016,19964.570000000003,19412.510000000002,11921.2297,39892.33,3018.7293,27041.659999999996,7097.0846,15842.350000000002
20180727,5681.4,10941.1246,4646.1900000000005,24361.2676,9644.81,71251.60889999999,2365.6701,8279.56,46258.3016,62580.174300000006,6322.210000000001,63821.114499999996,6498.310200000001,57904.70000000002,21260.840000000004,20670.9,12694.8401,42347.020000000004,3206.0299,28666.949999999997,7548.2769,16874.49
20180828,6057.24,11675.518399999999,4958.47,25598.5012,10289.8,75072.86769999999,2524.7617999999998,8829.449999999999,48951.1111,66531.25690000001,6721.640000000001,67850.6995,6908.589300000001,61469.50000000002,22595.110000000004,21963.31,13489.3526,44882.54,3399.7479,30347.749999999996,8014.4185,17937.070000000003
20180928,6448.55,12445.672199999999,5284.21,26849.3248,10961.93,78941.97379999999,2690.7212,9402.039999999999,51699.4102,70594.68830000001,7132.450000000002,71994.8821,7330.534600000001,65113.10000000002,23966.830000000005,23288.21,14304.148500000001,47502.47,3600.0863,32086.509999999995,8495.7553,19029.670000000002
20181026,6854.18,13246.446,5622.57,28115.638399999996,11659.69,82866.22369999999,2863.1227,9995.81,54507.462,74774.84400000001,7555.090000000002,76258.1246,7764.600400000001,68843.24000000002,25377.290000000005,24648.039999999997,15140.593700000001,50200.61,3806.6146,33877.399999999994,8991.8021,20153.38
20181128,7270.450000000001,14063.7498,5970.36,29408.571999999996,12376.800000000001,86875.61299999998,3040.3395,10605.369999999999,57391.3271,79069.73250000001,7989.360000000002,80638.3979,8210.5802,72657.23000000003,26826.140000000003,26041.469999999998,15998.2939,52979.86,4019.4864,35721.689999999995,9502.7446,21307.940000000002
20181228,7696.290000000001,14894.043599999999,6326.509999999999,30731.445599999995,13111.590000000002,90988.17749999998,3221.8967000000002,11229.23,60359.038100000005,83485.53360000001,8435.880000000003,85142.02549999999,8669.1153,76566.33000000003,28314.460000000003,27472.03,16879.0654,55832.36,4238.170999999999,37612.85999999999,10027.9715,22494.79
