Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
USO,United States Oil Fund,Commodity,"$1,716,745,890.00",20.39%,"35,250,796",$11.63,2.47%,No,No,3.38%,14.24%,-12.16%,20.52%,-66.58%,"-$49,946,603.00","-$28,546,215.00","-$21,446,645.00","-$205,445,292.00","-$3,039,420,483.00","$2,110,729,540.00",Oil & Gas,2006-04-10,0.77%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.78,1,100.00%,23%,23%,K-1,$10.32,$11.66,$11.45,$11.75,57.05,A,A+,A+,A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UWT,VelocityShares 3x Long Crude Oil ETN,Commodity,"$502,958,880.00",67.87%,"11,271,651",$14.94,7.33%,No,3x,9.53%,44.35%,-53.92%,N/A,N/A,"-$134,673,085.00","-$12,509,070.00","-$135,539,915.00","$513,493,134.00","$144,030,037.30","$144,030,037.30",Leveraged Commodities,2016-12-08,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.78,1,100.00%,39%,20%,1099,$10.71,$14.94,$14.29,$15.38,53.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UCO,ProShares Ultra Bloomberg Crude Oil,Commodity,"$467,765,846.00",42.48%,"4,450,855",$18.95,4.87%,No,2x,6.52%,29.00%,-32.83%,0.16%,-93.94%,"-$62,243,135.50","-$14,108,087.00","-$67,041,772.00","$3,405,888.00","-$1,232,538,971.96","$769,154,727.74",Leveraged Commodities,2008-11-24,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.62,1,100.00%,23%,23%,K-1,$15.06,$19.01,$18.38,$19.33,55.36,A,A,B,A-,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DBO,Invesco DB Oil Fund,Commodity,"$326,784,037.00",19.95%,"943,366",$10.16,2.42%,No,No,3.25%,14.03%,-7.52%,28.99%,-61.60%,"$8,842,952.00",$0.00,"$7,124,200.00","$59,258,470.00","-$176,230,420.00","$366,600,730.00",Oil & Gas,2007-01-05,0.75%,TD Ameritrade,$0.13,2018-12-24,$0.13,1.35%,0.00,0.82,1,100.00%,23%,23%,K-1,$9.02,$10.19,$10.00,$10.26,57.25,B+,A,C+,B+,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OILU,ProShares UltraPro 3x Crude Oil ETF,Commodity,"$131,114,616.00",67.19%,"1,065,735",$22.52,7.55%,No,3x,9.43%,44.27%,-53.99%,N/A,N/A,"-$12,292,033.50","-$3,184,471.50","-$12,292,033.50","$128,378,753.22","$125,259,940.72","$125,259,940.72",Leveraged Commodities,2017-03-24,0.49%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.79,1,100.00%,39%,20%,1099,$16.14,$22.50,$21.52,$23.19,53.18,N/A,N/A,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OIL,iPath Series B S&P GSCI Crude Oil Total Return Index ETN,Commodity,"$90,597,584.00",20.31%,N/A,$57.10,2.72%,No,No,3.50%,14.27%,N/A,N/A,N/A,"$3,319,093.07","$438,361.05","$3,700,803.82","-$170,370,249.67","-$440,627,711.38","$735,226,288.12",Oil & Gas,2016-11-17,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,1,100.00%,35%,15%,1099,$50.60,$57.28,$56.29,$57.63,56.81,B+,A,B,A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DWT,VelocityShares 3x Inverse Crude Oil ETN,Commodity,"$84,074,415.00",-46.05%,"7,127,548",$8.60,-7.63%,Yes,3x,-10.88%,-36.62%,-17.31%,N/A,N/A,"$69,556,627.50","$21,171,260.00","$51,148,517.50","-$203,125,104.00","$109,520,878.00","$109,520,878.00",Leveraged Commodities,2016-12-08,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,-2.12,1,100.00%,20%,39%,1099,$8.17,$12.90,$8.30,$9.06,40.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCO,ProShares UltraShort Bloomberg Crude Oil,Commodity,"$64,951,964.00",-32.84%,"2,797,032",$19.67,-4.98%,Yes,2x,-7.20%,-25.34%,-2.65%,-74.92%,22.41%,"-$22,267,913.00","-$2,242,109.00","-$2,522,536.00","-$211,571,122.00","$299,299,488.23","$18,820,022.69",Leveraged Commodities,2008-11-24,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,-1.29,1,100.00%,23%,23%,K-1,$19.19,$25.52,$19.22,$20.33,40.29,A+,A,B,B-,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USL,United States 12 Month Oil Fund,Commodity,"$60,380,728.00",17.93%,"20,855",$21.18,2.62%,No,No,2.77%,11.89%,-6.57%,33.38%,-49.17%,$0.00,$0.00,$0.00,"-$27,550,147.00","-$59,766,339.50","$13,975,462.00",Oil & Gas,2007-12-06,0.86%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,0.66,1,100.00%,23%,23%,K-1,$19.18,$21.21,$20.88,$21.34,56.91,B+,B+,C,A-,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UWTI,VelocityShares 3x Long Crude ETN,Commodity,"$36,401,499.00",-37.67%,"22,097,040",$24.62,5.89%,No,3x,-0.61%,34.68%,-47.95%,-99.28%,-99.61%,$9.20,$0.00,$0.00,"-$56,730,827.80","-$1,170,038,772.89","$1,955,209,526.04",Leveraged Commodities,2012-02-07,1.35%,N/A,N/A,N/A,N/A,N/A,0.00,-18.73,1,100.00%,35%,15%,1099,$15.56,$26.67,$23.61,$25.14,54.70,B-,B,C+,A,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OILK,ProShares K-1 Free Crude Oil Strategy ETF,Commodity,"$30,730,603.00",19.79%,"25,513",$20.52,2.40%,No,No,3.48%,13.81%,-13.16%,N/A,N/A,"$942,514.00",$0.00,"$942,514.00","$30,985,066.50","$33,242,424.00","$33,242,424.00",Oil & Gas,2016-09-26,0.65%,N/A,$0.10,2018-12-26,$0.10,0.49%,0.00,0.90,1,100.00%,20%,39%,1099,$18.24,$20.57,$20.29,$20.66,56.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USOU,United States 3x Oil Fund,Commodity,"$27,141,562.00",67.36%,"133,661",$27.28,7.40%,No,3x,9.51%,44.34%,-53.29%,N/A,N/A,"$791,592.00",$0.00,$0.00,"$22,411,463.00","$22,411,463.00","$22,411,463.00",Leveraged Commodities,2017-07-19,1.47%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.96,1,100.00%,39%,20%,1099,$19.55,$27.24,$26.12,$28.03,53.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WTIU,ProShares Daily 3x Long Crude ETN,Commodity,"$18,348,160.00",67.75%,"114,340",$14.41,7.46%,No,3x,9.50%,44.82%,-53.58%,N/A,N/A,"$2,325,850.00",$0.00,$0.00,"-$4,667,813.00","-$4,667,813.00","-$4,667,813.00",Leveraged Commodities,2017-01-04,1.45%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.73,1,100.00%,39%,20%,1099,$10.34,$14.40,$13.79,$14.81,53.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DTO,DB Crude Oil Double Short ETN,Commodity,"$17,741,499.00",-37.32%,"4,942",$63.29,-4.15%,Yes,2x,-6.71%,-29.92%,-15.44%,-68.11%,73.73%,$0.00,$0.00,$0.00,"-$5,807,130.00","-$83,493,164.88","-$179,551,874.88",Leveraged Commodities,2008-06-17,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,-1.40,1,100.00%,35%,15%,1099,$59.31,$86.87,N/A,N/A,40.26,A,A-,A-,B,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OILD,ProShares UltraPro 3x Short Crude Oil ETF,Commodity,"$13,844,390.00",-45.90%,"376,635",$26.20,-7.65%,Yes,3x,-11.13%,-36.53%,-17.71%,N/A,N/A,"$4,278,994.50","$2,923,925.00","$4,278,994.50","-$50,181,515.16","-$12,063,711.16","-$12,063,711.16",Leveraged Commodities,2017-03-24,0.49%,N/A,$0.00,N/A,N/A,0.00%,0.00,-2.19,1,100.00%,39%,20%,1099,$24.87,$39.28,$25.31,$27.57,40.05,N/A,N/A,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OILX,ETRACS S&P GSCI Crude Oil Total Return Index ETN,Commodity,"$13,291,640.00",20.18%,658,$33.29,2.43%,No,No,3.39%,14.18%,-9.54%,N/A,N/A,$0.00,$0.00,$0.00,"-$20,448,180.00","-$20,448,180.00","-$20,448,180.00",Oil & Gas,2016-02-17,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.72,1,100.00%,39%,20%,1099,$29.53,$33.44,$32.83,$33.52,56.45,N/A,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DWTI,VelocityShares 3x Inverse Crude ETN,Commodity,"$5,527,752.00",-74.56%,"3,640,700",$50.83,-5.52%,Yes,3x,-0.55%,-38.54%,-72.03%,82.78%,43.59%,$0.00,$0.00,$0.00,"-$2,647,260.00","-$319,954,077.73","$502,003,822.77",Leveraged Commodities,2012-02-07,1.35%,N/A,N/A,N/A,N/A,N/A,0.00,-20.92,1,100.00%,35%,15%,1099,$41.74,$92.91,$49.59,$53.16,40.50,C,B,B-,C+,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OLO,DB Crude Oil Long ETN,Commodity,"$4,729,104.00",19.63%,"2,255",$5.24,1.55%,No,No,2.24%,12.45%,-7.09%,-2.42%,-59.94%,"-$120,967.50",$0.00,"-$120,967.50","-$3,525,230.20","-$8,214,639.00","$3,289,431.00",Oil & Gas,2008-06-19,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.36,1,100.00%,35%,15%,1099,$4.72,$5.30,N/A,N/A,55.81,A-,B-,B+,B+,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WTID,ProShares Daily 3x Inverse Crude ETN,Commodity,"$3,780,520.00",-45.73%,"37,100",$9.40,-7.39%,Yes,3x,-10.90%,-36.49%,-17.18%,N/A,N/A,$0.00,$0.00,$0.00,"-$8,899,347.60","-$8,899,347.60","-$8,899,347.60",Leveraged Commodities,2017-01-04,1.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,-1.98,1,100.00%,39%,20%,1099,$8.91,$14.07,$9.05,$9.93,40.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OLEM,iPath Pure Beta Crude Oil ETN,Commodity,"$2,293,433.00",19.48%,572,$17.30,2.67%,No,No,3.41%,13.37%,-8.66%,26.28%,-58.05%,"-$56,880.81","$1,688.17","-$4,882.10","-$28,406,464.19","-$13,149,131.06","-$3,394,161.65",Oil & Gas,2011-04-20,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.53,1,100.00%,35%,15%,1099,$15.44,$17.41,$17.30,$17.30,57.13,B-,C,B,A-,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
